Recette,Ingrédients,Temps_de_cuisson,Niveau_de_difficulté,Type_de_repas,Régime,Pays,Temps_total,Épices/Saveurs
Ndolé 1,"Feuilles de ndolé, arachides, viande ou poisson, huile, épices",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,quatre-vingt-dix minutes,"Épicé, Amer"
Poulet DG 1,"Poulet, plantain, huile, oignon, tomate, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,soixante minutes,"Épicé, Sucré"
Eru 1,"Feuilles d'eru, waterleaf, poisson fumé, viande, huile de palme",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Cameroun,soixante-quinze minutes,"Épicé, Salé"
Achu 1,"Ignames, piment, huile, bouillon, épices",une heure,Difficile,Déjeuner/Dîner,Omnivore,Cameroun,soixante minutes,Épicé
Mbongo Tchobi 1,"Poisson, pâte d'arachide, épices, huile de palme",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,quatre-vingt-dix minutes,"Épicé, Salé"
Fufu corn 1,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Cameroun,trente minutes,Neutre
Koki 1,"Haricots rouges, feuilles de manioc, huile de palme, épices",une heure,Moyen,Déjeuner/Dîner,Végétarien,Cameroun,soixante minutes,Épicé
Bobolo 1,"Plantains fermentés, feuilles de bananier",une heure,Moyen,Déjeuner/Dîner,Végétarien,Cameroun,soixante minutes,Neutre
Brochettes de viande 1,"Viande de bœuf, épices, huile",quarante-cinq minutes,Facile,Snack/Déjeuner,Omnivore,Cameroun,quarante-cinq minutes,Épicé
Banane plantain frit 1,"Bananes plantains mûres, huile, sel",vingt minutes,Facile,Snack/Déjeuner,Végétarien,Cameroun,vingt minutes,Sucré
Jollof rice 1,"Riz, tomates, poivrons, oignons, huile, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,soixante minutes,Épicé
Egusi soup 1,"Graines de melon, viande, poisson, feuilles vertes, huile",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Cameroun,soixante-quinze minutes,"Épicé, Salé"
Couscous sénégalais 1,"Semoule de mil, légumes, viande, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,soixante minutes,"Épicé, Aromatique"
Thieboudienne 1,"Poisson, riz, légumes, huile, épices",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Cameroun,quatre-vingt-dix minutes,"Épicé, Salé"
Matoke 1,"Bananes plantains vertes, huile, oignons, tomates, viande",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,quarante-cinq minutes,"Épicé, Salé"
Ugali 1,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Cameroun,trente minutes,Neutre
Supu ya nyama 1,"Viande, légumes, épices, huile",une heure,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,soixante minutes,"Épicé, Salé"
Injera avec Doro Wat 1,"Farine de teff, poulet, épices, huile",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Cameroun,quatre-vingt-dix minutes,"Épicé, Aromatique"
Bunny Chow 1,"Pain, curry de viande, légumes, épices",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,quarante-cinq minutes,"Épicé, Salé"
Ndolé 2,"Feuilles de ndolé, arachides, viande ou poisson, huile, épices",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Nigéria,quatre-vingt-dix minutes,"Épicé, Amer"
Poulet DG 2,"Poulet, plantain, huile, oignon, tomate, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Nigéria,soixante minutes,"Épicé, Sucré"
Eru 2,"Feuilles d'eru, waterleaf, poisson fumé, viande, huile de palme",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Nigéria,soixante-quinze minutes,"Épicé, Salé"
Achu 2,"Ignames, piment, huile, bouillon, épices",une heure,Difficile,Déjeuner/Dîner,Omnivore,Nigéria,soixante minutes,Épicé
Mbongo Tchobi 2,"Poisson, pâte d'arachide, épices, huile de palme",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Nigéria,quatre-vingt-dix minutes,"Épicé, Salé"
Fufu corn 2,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Nigéria,trente minutes,Neutre
Koki 2,"Haricots rouges, feuilles de manioc, huile de palme, épices",une heure,Moyen,Déjeuner/Dîner,Végétarien,Nigéria,soixante minutes,Épicé
Bobolo 2,"Plantains fermentés, feuilles de bananier",une heure,Moyen,Déjeuner/Dîner,Végétarien,Nigéria,soixante minutes,Neutre
Brochettes de viande 2,"Viande de bœuf, épices, huile",quarante-cinq minutes,Facile,Snack/Déjeuner,Omnivore,Nigéria,quarante-cinq minutes,Épicé
Banane plantain frit 2,"Bananes plantains mûres, huile, sel",vingt minutes,Facile,Snack/Déjeuner,Végétarien,Nigéria,vingt minutes,Sucré
